Field,Goal,Skill Name,Skill Category
AYUSH Wellness Tourism & Spa Management,Wellness Retreat Manager,International Client Handling,SOFT
AYUSH Wellness Tourism & Spa Management,Wellness Retreat Manager,Facility Operations Management,SOFT
AYUSH Wellness Tourism & Spa Management,Wellness Retreat Manager,Wellness Tourism Marketing,SOFT
AYUSH Wellness Tourism & Spa Management,Spa Director,Wellness Retreat Program Design,TECHNICAL
AYUSH Wellness Tourism & Spa Management,Spa Director,Spa Therapy Protocols,TECHNICAL
AYUSH Wellness Tourism & Spa Management,Spa Director,Hospitality Management,SOFT
AYUSH Wellness Tourism & Spa Management,Spa Director,Wellness Product Knowledge,TECHNICAL
AYUSH Wellness Tourism & Spa Management,Spa Director,Client Service & Sales,SOFT
AYUSH Wellness Tourism & Spa Management,Spa Director,Wellness Package Curation,TECHNICAL
AYUSH Wellness Tourism & Spa Management,Spa Director,International Client Handling,SOFT
AYUSH Wellness Tourism & Spa Management,Spa Director,Facility Operations Management,SOFT
AYUSH Wellness Tourism & Spa Management,Spa Director,Wellness Tourism Marketing,SOFT
AYUSH Wellness Tourism & Spa Management,Wellness Tourism Consultant,Wellness Retreat Program Design,TECHNICAL
AYUSH Wellness Tourism & Spa Management,Wellness Tourism Consultant,Spa Therapy Protocols,TECHNICAL
AYUSH Wellness Tourism & Spa Management,Wellness Tourism Consultant,Hospitality Management,SOFT
AYUSH Wellness Tourism & Spa Management,Wellness Tourism Consultant,Wellness Product Knowledge,TECHNICAL
AYUSH Wellness Tourism & Spa Management,Wellness Tourism Consultant,Client Service & Sales,SOFT
AYUSH Wellness Tourism & Spa Management,Wellness Tourism Consultant,Wellness Package Curation,TECHNICAL
AYUSH Wellness Tourism & Spa Management,Wellness Tourism Consultant,International Client Handling,SOFT
AYUSH Wellness Tourism & Spa Management,Wellness Tourism Consultant,Facility Operations Management,SOFT
AYUSH Wellness Tourism & Spa Management,Wellness Tourism Consultant,Wellness Tourism Marketing,SOFT
AYUSH Digital Health & Informatics,AYUSH Health IT Specialist,AYUSH EHR Systems,TECHNICAL
AYUSH Digital Health & Informatics,AYUSH Health IT Specialist,NAMASTE Terminology Coding,TECHNICAL
AYUSH Digital Health & Informatics,AYUSH Health IT Specialist,Telemedicine Platforms,TECHNICAL
AYUSH Digital Health & Informatics,AYUSH Health IT Specialist,Health Data Management,TECHNICAL
AYUSH Digital Health & Informatics,AYUSH Health IT Specialist,Digital Literacy Training,SOFT
AYUSH Digital Health & Informatics,AYUSH Health IT Specialist,AYUSH Grid Portal Usage,TECHNICAL
AYUSH Digital Health & Informatics,AYUSH Health IT Specialist,Data Privacy in Healthcare,TECHNICAL
AYUSH Digital Health & Informatics,AYUSH Health IT Specialist,Mobile Health App Familiarity,TECHNICAL
AYUSH Digital Health & Informatics,AYUSH Health IT Specialist,Tech-enabled Patient Communication,SOFT
AYUSH Digital Health & Informatics,Digital Health Coordinator,AYUSH EHR Systems,TECHNICAL
AYUSH Digital Health & Informatics,Digital Health Coordinator,NAMASTE Terminology Coding,TECHNICAL
AYUSH Digital Health & Informatics,Digital Health Coordinator,Telemedicine Platforms,TECHNICAL
AYUSH Digital Health & Informatics,Digital Health Coordinator,Health Data Management,TECHNICAL
AYUSH Digital Health & Informatics,Digital Health Coordinator,Digital Literacy Training,SOFT
AYUSH Digital Health & Informatics,Digital Health Coordinator,AYUSH Grid Portal Usage,TECHNICAL
AYUSH Digital Health & Informatics,Digital Health Coordinator,Data Privacy in Healthcare,TECHNICAL
AYUSH Digital Health & Informatics,Digital Health Coordinator,Mobile Health App Familiarity,TECHNICAL
AYUSH Digital Health & Informatics,Digital Health Coordinator,Tech-enabled Patient Communication,SOFT
AYUSH Digital Health & Informatics,Health Informatics Analyst,AYUSH EHR Systems,TECHNICAL
AYUSH Digital Health & Informatics,Health Informatics Analyst,NAMASTE Terminology Coding,TECHNICAL
AYUSH Digital Health & Informatics,Health Informatics Analyst,Telemedicine Platforms,TECHNICAL
AYUSH Digital Health & Informatics,Health Informatics Analyst,Health Data Management,TECHNICAL
AYUSH Digital Health & Informatics,Health Informatics Analyst,Digital Literacy Training,SOFT
AYUSH Digital Health & Informatics,Health Informatics Analyst,AYUSH Grid Portal Usage,TECHNICAL
AYUSH Digital Health & Informatics,Health Informatics Analyst,Data Privacy in Healthcare,TECHNICAL
AYUSH Digital Health & Informatics,Health Informatics Analyst,Mobile Health App Familiarity,TECHNICAL
AYUSH Digital Health & Informatics,Health Informatics Analyst,Tech-enabled Patient Communication,SOFT
Medicinal Plant Cultivation,Medicinal Plant Farmer,Herbal Farming Techniques,TECHNICAL
Medicinal Plant Cultivation,Medicinal Plant Farmer,GACP,TECHNICAL
Medicinal Plant Cultivation,Medicinal Plant Farmer,Medicinal Plant Identification,TECHNICAL
Medicinal Plant Cultivation,Medicinal Plant Farmer,Post-Harvest Processing,TECHNICAL
Medicinal Plant Cultivation,Medicinal Plant Farmer,Organic Cultivation Methods,TECHNICAL
Medicinal Plant Cultivation,Medicinal Plant Farmer,Seed Bank Management,TECHNICAL
Medicinal Plant Cultivation,Medicinal Plant Farmer,Soil & Water Management,TECHNICAL
Medicinal Plant Cultivation,Medicinal Plant Farmer,Pest Management (Organic),TECHNICAL
Medicinal Plant Cultivation,Medicinal Plant Farmer,Crop Yield Optimization,TECHNICAL
Medicinal Plant Cultivation,Herbal Agriculture Specialist,Herbal Farming Techniques,TECHNICAL
Medicinal Plant Cultivation,Herbal Agriculture Specialist,GACP,TECHNICAL
Medicinal Plant Cultivation,Herbal Agriculture Specialist,Medicinal Plant Identification,TECHNICAL
Medicinal Plant Cultivation,Herbal Agriculture Specialist,Post-Harvest Processing,TECHNICAL
Medicinal Plant Cultivation,Herbal Agriculture Specialist,Organic Cultivation Methods,TECHNICAL
Medicinal Plant Cultivation,Herbal Agriculture Specialist,Seed Bank Management,TECHNICAL
Medicinal Plant Cultivation,Herbal Agriculture Specialist,Soil & Water Management,TECHNICAL
Medicinal Plant Cultivation,Herbal Agriculture Specialist,Pest Management (Organic),TECHNICAL
Medicinal Plant Cultivation,Herbal Agriculture Specialist,Crop Yield Optimization,TECHNICAL
Medicinal Plant Cultivation,GACP Consultant,Herbal Farming Techniques,TECHNICAL
Medicinal Plant Cultivation,GACP Consultant,GACP,TECHNICAL
Medicinal Plant Cultivation,GACP Consultant,Medicinal Plant Identification,TECHNICAL
Medicinal Plant Cultivation,GACP Consultant,Post-Harvest Processing,TECHNICAL
Medicinal Plant Cultivation,GACP Consultant,Organic Cultivation Methods,TECHNICAL
Medicinal Plant Cultivation,GACP Consultant,Seed Bank Management,TECHNICAL
Medicinal Plant Cultivation,GACP Consultant,Soil & Water Management,TECHNICAL
Medicinal Plant Cultivation,GACP Consultant,Pest Management (Organic),TECHNICAL
Medicinal Plant Cultivation,GACP Consultant,Crop Yield Optimization,TECHNICAL
AYUSH Hospital & Clinic Administration,AYUSH Hospital Administrator,Healthcare Facility Management,SOFT
AYUSH Hospital & Clinic Administration,AYUSH Hospital Administrator,AYUSH Hospital Accreditation Standards,TECHNICAL
AYUSH Hospital & Clinic Administration,AYUSH Hospital Administrator,Inventory & Supply Management,TECHNICAL
AYUSH Hospital & Clinic Administration,AYUSH Hospital Administrator,Staff Scheduling,SOFT
AYUSH Hospital & Clinic Administration,AYUSH Hospital Administrator,Patient Records Management,TECHNICAL
AYUSH Hospital & Clinic Administration,AYUSH Hospital Administrator,Billing & Insurance Coordination,TECHNICAL
AYUSH Hospital & Clinic Administration,AYUSH Hospital Administrator,Facility Compliance Audits,TECHNICAL
AYUSH Hospital & Clinic Administration,AYUSH Hospital Administrator,Vendor Management,SOFT
AYUSH Hospital & Clinic Administration,AYUSH Hospital Administrator,Crisis/Emergency Coordination,SOFT
AYUSH Hospital & Clinic Administration,Clinic Manager,Healthcare Facility Management,SOFT
AYUSH Hospital & Clinic Administration,Clinic Manager,AYUSH Hospital Accreditation Standards,TECHNICAL
AYUSH Hospital & Clinic Administration,Clinic Manager,Inventory & Supply Management,TECHNICAL
AYUSH Hospital & Clinic Administration,Clinic Manager,Staff Scheduling,SOFT
AYUSH Hospital & Clinic Administration,Clinic Manager,Patient Records Management,TECHNICAL
AYUSH Hospital & Clinic Administration,Clinic Manager,Billing & Insurance Coordination,TECHNICAL
AYUSH Hospital & Clinic Administration,Clinic Manager,Facility Compliance Audits,TECHNICAL
AYUSH Hospital & Clinic Administration,Clinic Manager,Vendor Management,SOFT
AYUSH Hospital & Clinic Administration,Clinic Manager,Crisis/Emergency Coordination,SOFT
AYUSH Hospital & Clinic Administration,Healthcare Operations Manager,Healthcare Facility Management,SOFT
AYUSH Hospital & Clinic Administration,Healthcare Operations Manager,AYUSH Hospital Accreditation Standards,TECHNICAL
AYUSH Hospital & Clinic Administration,Healthcare Operations Manager,Inventory & Supply Management,TECHNICAL
AYUSH Hospital & Clinic Administration,Healthcare Operations Manager,Staff Scheduling,SOFT
AYUSH Hospital & Clinic Administration,Healthcare Operations Manager,Patient Records Management,TECHNICAL
AYUSH Hospital & Clinic Administration,Healthcare Operations Manager,Billing & Insurance Coordination,TECHNICAL
AYUSH Hospital & Clinic Administration,Healthcare Operations Manager,Facility Compliance Audits,TECHNICAL
AYUSH Hospital & Clinic Administration,Healthcare Operations Manager,Vendor Management,SOFT
AYUSH Hospital & Clinic Administration,Healthcare Operations Manager,Crisis/Emergency Coordination,SOFT
AYUSH Public Health & Community Outreach,Public Health Officer,Community Health Education,SOFT
AYUSH Public Health & Community Outreach,Public Health Officer,AYUSH Program Implementation,TECHNICAL
AYUSH Public Health & Community Outreach,Public Health Officer,Health Camp Organization,SOFT
AYUSH Public Health & Community Outreach,Public Health Officer,Traditional Knowledge Documentation,TECHNICAL
AYUSH Public Health & Community Outreach,Public Health Officer,Public Health Messaging,SOFT
AYUSH Public Health & Community Outreach,Public Health Officer,Rural Healthcare Delivery,SOFT
AYUSH Public Health & Community Outreach,Public Health Officer,Government Scheme Awareness,TECHNICAL
AYUSH Public Health & Community Outreach,Public Health Officer,Data Collection for Health Surveys,TECHNICAL
AYUSH Public Health & Community Outreach,Public Health Officer,Stakeholder Coordination,SOFT
AYUSH Public Health & Community Outreach,Community Health Worker,Community Health Education,SOFT
AYUSH Public Health & Community Outreach,Community Health Worker,AYUSH Program Implementation,TECHNICAL
AYUSH Public Health & Community Outreach,Community Health Worker,Health Camp Organization,SOFT
AYUSH Public Health & Community Outreach,Community Health Worker,Traditional Knowledge Documentation,TECHNICAL
AYUSH Public Health & Community Outreach,Community Health Worker,Public Health Messaging,SOFT
AYUSH Public Health & Community Outreach,Community Health Worker,Rural Healthcare Delivery,SOFT
AYUSH Public Health & Community Outreach,Community Health Worker,Government Scheme Awareness,TECHNICAL
AYUSH Public Health & Community Outreach,Community Health Worker,Data Collection for Health Surveys,TECHNICAL
AYUSH Public Health & Community Outreach,Community Health Worker,Stakeholder Coordination,SOFT
AYUSH Public Health & Community Outreach,AYUSH Program Coordinator,Community Health Education,SOFT
AYUSH Public Health & Community Outreach,AYUSH Program Coordinator,AYUSH Program Implementation,TECHNICAL
AYUSH Public Health & Community Outreach,AYUSH Program Coordinator,Health Camp Organization,SOFT
AYUSH Public Health & Community Outreach,AYUSH Program Coordinator,Traditional Knowledge Documentation,TECHNICAL
AYUSH Public Health & Community Outreach,AYUSH Program Coordinator,Public Health Messaging,SOFT
AYUSH Public Health & Community Outreach,AYUSH Program Coordinator,Rural Healthcare Delivery,SOFT
AYUSH Public Health & Community Outreach,AYUSH Program Coordinator,Government Scheme Awareness,TECHNICAL
AYUSH Public Health & Community Outreach,AYUSH Program Coordinator,Data Collection for Health Surveys,TECHNICAL
AYUSH Public Health & Community Outreach,AYUSH Program Coordinator,Stakeholder Coordination,SOFT
Ayurvedic Cosmetology & Beauty Therapy,Ayurvedic Cosmetologist,Herbal Skincare Formulation,TECHNICAL
Ayurvedic Cosmetology & Beauty Therapy,Ayurvedic Cosmetologist,Ayurvedic Beauty Treatments,TECHNICAL
Ayurvedic Cosmetology & Beauty Therapy,Ayurvedic Cosmetologist,Product Knowledge (Natural Cosmetics),TECHNICAL
Ayurvedic Cosmetology & Beauty Therapy,Ayurvedic Cosmetologist,Client Consultation,SOFT
Ayurvedic Cosmetology & Beauty Therapy,Ayurvedic Cosmetologist,Treatment Protocol Design,TECHNICAL
Ayurvedic Cosmetology & Beauty Therapy,Ayurvedic Cosmetologist,Hair & Scalp Therapy,TECHNICAL
Ayurvedic Cosmetology & Beauty Therapy,Ayurvedic Cosmetologist,Facial Marma Therapy,TECHNICAL
Ayurvedic Cosmetology & Beauty Therapy,Ayurvedic Cosmetologist,Skin Type Analysis,TECHNICAL
Ayurvedic Cosmetology & Beauty Therapy,Ayurvedic Cosmetologist,Retail & Upselling,SOFT
Ayurvedic Cosmetology & Beauty Therapy,Beauty Therapist,Herbal Skincare Formulation,TECHNICAL
Ayurvedic Cosmetology & Beauty Therapy,Beauty Therapist,Ayurvedic Beauty Treatments,TECHNICAL
Ayurvedic Cosmetology & Beauty Therapy,Beauty Therapist,Product Knowledge (Natural Cosmetics),TECHNICAL
Ayurvedic Cosmetology & Beauty Therapy,Beauty Therapist,Client Consultation,SOFT
Ayurvedic Cosmetology & Beauty Therapy,Beauty Therapist,Treatment Protocol Design,TECHNICAL
Ayurvedic Cosmetology & Beauty Therapy,Beauty Therapist,Hair & Scalp Therapy,TECHNICAL
Ayurvedic Cosmetology & Beauty Therapy,Beauty Therapist,Facial Marma Therapy,TECHNICAL
Ayurvedic Cosmetology & Beauty Therapy,Beauty Therapist,Skin Type Analysis,TECHNICAL
Ayurvedic Cosmetology & Beauty Therapy,Beauty Therapist,Retail & Upselling,SOFT
Ayurvedic Cosmetology & Beauty Therapy,Natural Skincare Consultant,Herbal Skincare Formulation,TECHNICAL
Ayurvedic Cosmetology & Beauty Therapy,Natural Skincare Consultant,Ayurvedic Beauty Treatments,TECHNICAL
Ayurvedic Cosmetology & Beauty Therapy,Natural Skincare Consultant,Product Knowledge (Natural Cosmetics),TECHNICAL
Ayurvedic Cosmetology & Beauty Therapy,Natural Skincare Consultant,Client Consultation,SOFT
Ayurvedic Cosmetology & Beauty Therapy,Natural Skincare Consultant,Treatment Protocol Design,TECHNICAL
Ayurvedic Cosmetology & Beauty Therapy,Natural Skincare Consultant,Hair & Scalp Therapy,TECHNICAL
Ayurvedic Cosmetology & Beauty Therapy,Natural Skincare Consultant,Facial Marma Therapy,TECHNICAL
Ayurvedic Cosmetology & Beauty Therapy,Natural Skincare Consultant,Skin Type Analysis,TECHNICAL
Ayurvedic Cosmetology & Beauty Therapy,Natural Skincare Consultant,Retail & Upselling,SOFT
Yoga for Sports & Fitness,Sports Yoga Therapist,Sports-specific Yoga Therapy,TECHNICAL
Yoga for Sports & Fitness,Sports Yoga Therapist,Injury Prevention Techniques,TECHNICAL
Yoga for Sports & Fitness,Sports Yoga Therapist,Flexibility & Recovery Training,TECHNICAL
Yoga for Sports & Fitness,Sports Yoga Therapist,Athlete Assessment,TECHNICAL
Yoga for Sports & Fitness,Sports Yoga Therapist,Performance-focused Pranayama,TECHNICAL
Yoga for Sports & Fitness,Sports Yoga Therapist,Sports Nutrition Basics,TECHNICAL
Yoga for Sports & Fitness,Sports Yoga Therapist,Rehabilitation Yoga,TECHNICAL
Yoga for Sports & Fitness,Sports Yoga Therapist,Strength & Conditioning Integration,TECHNICAL
Yoga for Sports & Fitness,Sports Yoga Therapist,Athlete Communication,SOFT
Yoga for Sports & Fitness,Athletic Trainer,Sports-specific Yoga Therapy,TECHNICAL
Yoga for Sports & Fitness,Athletic Trainer,Injury Prevention Techniques,TECHNICAL
Yoga for Sports & Fitness,Athletic Trainer,Flexibility & Recovery Training,TECHNICAL
Yoga for Sports & Fitness,Athletic Trainer,Athlete Assessment,TECHNICAL
Yoga for Sports & Fitness,Athletic Trainer,Performance-focused Pranayama,TECHNICAL
Yoga for Sports & Fitness,Athletic Trainer,Sports Nutrition Basics,TECHNICAL
Yoga for Sports & Fitness,Athletic Trainer,Rehabilitation Yoga,TECHNICAL
Yoga for Sports & Fitness,Athletic Trainer,Strength & Conditioning Integration,TECHNICAL
Yoga for Sports & Fitness,Athletic Trainer,Athlete Communication,SOFT
Yoga for Sports & Fitness,Performance Coach,Sports-specific Yoga Therapy,TECHNICAL
Yoga for Sports & Fitness,Performance Coach,Injury Prevention Techniques,TECHNICAL
Yoga for Sports & Fitness,Performance Coach,Flexibility & Recovery Training,TECHNICAL
Yoga for Sports & Fitness,Performance Coach,Athlete Assessment,TECHNICAL
Yoga for Sports & Fitness,Performance Coach,Performance-focused Pranayama,TECHNICAL
Yoga for Sports & Fitness,Performance Coach,Sports Nutrition Basics,TECHNICAL
Yoga for Sports & Fitness,Performance Coach,Rehabilitation Yoga,TECHNICAL
Yoga for Sports & Fitness,Performance Coach,Strength & Conditioning Integration,TECHNICAL
Yoga for Sports & Fitness,Performance Coach,Athlete Communication,SOFT
AYUSH Education & Academic Training,AYUSH Faculty Member,Curriculum Development,TECHNICAL
AYUSH Education & Academic Training,AYUSH Faculty Member,Classical Text Teaching,TECHNICAL
AYUSH Education & Academic Training,AYUSH Faculty Member,Clinical Training Supervision,SOFT
AYUSH Education & Academic Training,AYUSH Faculty Member,Academic Research Writing,SOFT
AYUSH Education & Academic Training,AYUSH Faculty Member,Student Assessment Design,TECHNICAL
AYUSH Education & Academic Training,AYUSH Faculty Member,E-learning Content Creation,TECHNICAL
AYUSH Education & Academic Training,AYUSH Faculty Member,Sanskrit/Classical Language Instruction,TECHNICAL
AYUSH Education & Academic Training,AYUSH Faculty Member,Mentorship & Guidance,SOFT
AYUSH Education & Academic Training,AYUSH Faculty Member,Academic Publication,SOFT
AYUSH Education & Academic Training,Clinical Training Supervisor,Curriculum Development,TECHNICAL
AYUSH Education & Academic Training,Clinical Training Supervisor,Classical Text Teaching,TECHNICAL
AYUSH Education & Academic Training,Clinical Training Supervisor,Clinical Training Supervision,SOFT
AYUSH Education & Academic Training,Clinical Training Supervisor,Academic Research Writing,SOFT
AYUSH Education & Academic Training,Clinical Training Supervisor,Student Assessment Design,TECHNICAL
AYUSH Education & Academic Training,Clinical Training Supervisor,E-learning Content Creation,TECHNICAL
AYUSH Education & Academic Training,Clinical Training Supervisor,Sanskrit/Classical Language Instruction,TECHNICAL
AYUSH Education & Academic Training,Clinical Training Supervisor,Mentorship & Guidance,SOFT
AYUSH Education & Academic Training,Clinical Training Supervisor,Academic Publication,SOFT
AYUSH Education & Academic Training,Academic Researcher,Curriculum Development,TECHNICAL
AYUSH Education & Academic Training,Academic Researcher,Classical Text Teaching,TECHNICAL
AYUSH Education & Academic Training,Academic Researcher,Clinical Training Supervision,SOFT
AYUSH Education & Academic Training,Academic Researcher,Academic Research Writing,SOFT
AYUSH Education & Academic Training,Academic Researcher,Student Assessment Design,TECHNICAL
AYUSH Education & Academic Training,Academic Researcher,E-learning Content Creation,TECHNICAL
AYUSH Education & Academic Training,Academic Researcher,Sanskrit/Classical Language Instruction,TECHNICAL
AYUSH Education & Academic Training,Academic Researcher,Mentorship & Guidance,SOFT
AYUSH Education & Academic Training,Academic Researcher,Academic Publication,SOFT
